name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Nelson, NSN, NZ",1/01/2023,20.4,11.4,17,20.4,11.4,17,10.3,65.1,0,0,0,,0,0,14,24.1,339.3,1025.4,63.4,16.7,338,29.2,10,10,2023-01-01T05:57:08,2023-01-01T21:02:53,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",2/01/2023,22.2,11.6,17.8,22.2,11.6,17.8,10.6,63.6,0,0,0,,0,0,14,22.3,353.7,1024.4,73.9,19.6,352.2,30.5,10,10,2023-01-02T05:57:59,2023-01-02T21:02:58,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",3/01/2023,23.2,16.7,19.6,23.2,16.7,19.6,12.8,65.8,0,0,0,,0,0,11.5,16.6,338.6,1020.3,76.1,18.8,356,30.8,10,10,2023-01-03T05:58:50,2023-01-03T21:03:01,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",4/01/2023,22.9,16.2,19.7,22.9,16.2,19.7,14.2,71,0,0,0,rain,0,0,14,20.5,348.9,1016.2,91.2,18.8,229.4,19.7,10,10,2023-01-04T05:59:44,2023-01-04T21:03:01,0.4,Overcast,Cloudy skies throughout the day.,cloudy,93546099999
"Nelson, NSN, NZ",5/01/2023,19.4,16.4,17.9,19.4,16.4,17.9,17,94.6,12.4,100,16.67,rain,0,0,9,14.8,2.4,1013.7,100,4.3,27.5,2.5,1,10,2023-01-05T06:00:39,2023-01-05T21:02:59,0.43,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,93546099999
"Nelson, NSN, NZ",6/01/2023,20.6,17.1,18.9,20.6,17.1,18.9,17.9,94.2,33.2,100,25,rain,0,0,16.9,27.7,42.3,1011.7,99.4,10.9,28.7,2.4,1,10,2023-01-06T06:01:36,2023-01-06T21:02:55,0.47,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,93546099999
"Nelson, NSN, NZ",7/01/2023,22.9,18.2,20.1,22.9,18.2,20.1,18.2,89,11.2,100,16.67,rain,0,0,14,13,303.5,1010.7,98.4,16.6,153,13.1,8,10,2023-01-07T06:02:34,2023-01-07T21:02:48,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,93546099999
"Nelson, NSN, NZ",8/01/2023,24.4,16.2,19.5,24.4,16.2,19.5,9.3,58.3,0.4,100,4.17,rain,0,0,21.2,22.3,106.2,1016.2,67.3,19.9,254.1,21.9,8,10,2023-01-08T06:03:34,2023-01-08T21:02:39,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"93546099999,7JLP"
"Nelson, NSN, NZ",9/01/2023,23.4,11.7,18.6,23.4,11.7,18.6,9.7,57,0,0,0,,0,0,15.8,20.5,318.1,1015.6,10.2,18.8,389.4,33.5,10,10,2023-01-09T06:04:35,2023-01-09T21:02:28,0.57,Clear,Clear conditions throughout the day.,clear-day,"93546099999,7JLP"
"Nelson, NSN, NZ",10/01/2023,23.7,14.2,19.8,23.7,14.2,19.8,12.1,62.1,0,0,0,,0,0,13.7,25.1,219.1,1008.4,100,19.4,277.3,23.9,9,10,2023-01-10T06:05:37,2023-01-10T21:02:14,0.6,Overcast,Cloudy skies throughout the day.,cloudy,"93546099999,7JLP"
"Nelson, NSN, NZ",11/01/2023,24.2,18.4,21,24.2,18.4,21,10.9,52.8,0,0,0,rain,0,0,33.8,24.1,162.1,998.4,100,19.7,50.4,4.5,3,10,2023-01-11T06:06:40,2023-01-11T21:01:58,0.63,Overcast,Cloudy skies throughout the day.,cloudy,"93546099999,7JLP"
"Nelson, NSN, NZ",12/01/2023,22.8,13.7,18.9,22.8,13.7,18.9,12.1,65.1,0,0,0,,0,0,22.7,29.5,24.7,1007.9,57.2,18.1,334.6,28.8,9,10,2023-01-12T06:07:45,2023-01-12T21:01:40,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93546099999,7JLP"
"Nelson, NSN, NZ",13/01/2023,19.4,15.9,17.5,19.4,15.9,17.5,12.5,72.8,0,0,0,,0,0,17.3,16.6,317.7,1019.1,43.5,18.6,338,29.2,10,10,2023-01-13T06:08:51,2023-01-13T21:01:19,0.7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"93546099999,7JLP"
"Nelson, NSN, NZ",14/01/2023,21.8,16.6,18.7,21.8,16.6,18.7,13.3,71.2,0,0,0,,0,0,15.1,20.5,349.4,1023.3,11.8,19.5,375.6,32.6,10,10,2023-01-14T06:09:58,2023-01-14T21:00:56,0.73,Clear,Clear conditions throughout the day.,clear-day,"93546099999,7JLP"
"Nelson, NSN, NZ",15/01/2023,21.6,13.9,18.3,21.6,13.9,18.3,12.3,68.3,0,0,0,,0,0,13.7,18.4,16.1,1026.9,1.8,17.6,377.1,32.6,10,10,2023-01-15T06:11:06,2023-01-15T21:00:31,0.75,Clear,Clear conditions throughout the day.,clear-day,"93546099999,7JLP"
"Nelson, NSN, NZ",16/01/2023,21.7,14.9,19,21.7,14.9,19,15.3,79.3,0,0,0,,0,0,19.1,29.5,24.6,1023.8,6.9,15.8,367.4,31.6,10,10,2023-01-16T06:12:15,2023-01-16T21:00:04,0.8,Clear,Clear conditions throughout the day.,clear-day,93546099999
"Nelson, NSN, NZ",17/01/2023,23.1,15.9,19.8,23.1,15.9,19.8,16.4,82,0,0,0,rain,0,0,16.9,22.3,7.6,1016.8,24.9,14.2,355.3,30.8,10,10,2023-01-17T06:13:25,2023-01-17T20:59:34,0.84,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",18/01/2023,23.6,14.4,19.5,23.6,14.4,19.5,14.8,75.5,0,0,0,,0,0,14,22.3,353.8,1013.4,0.9,16.7,370.9,32.1,10,10,2023-01-18T06:14:35,2023-01-18T20:59:02,0.87,Clear,Clear conditions throughout the day.,clear-day,93546099999
"Nelson, NSN, NZ",19/01/2023,23.2,15.2,19.7,23.2,15.2,19.7,14.9,74,0,0,0,,0,0,20.9,22.3,19.1,1008,12.2,17.5,371,32,10,10,2023-01-19T06:15:47,2023-01-19T20:58:28,0.9,Clear,Clear conditions throughout the day.,clear-day,"93546099999,7JLP"
"Nelson, NSN, NZ",20/01/2023,26.9,14.4,20.7,26.6,14.4,20.7,14.3,69.6,0,0,0,,0,0,33.5,31.7,309.4,1003.7,37,17.3,346.5,30,10,10,2023-01-20T06:16:59,2023-01-20T20:57:52,0.94,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"93546099999,7JLP"
"Nelson, NSN, NZ",21/01/2023,23.2,16.4,20.4,23.2,16.4,20.4,13.7,65.9,0,0,0,,0,0,33.8,27.7,346.3,1009.7,25.4,16.8,323.8,28,9,10,2023-01-21T06:18:12,2023-01-21T20:57:14,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",22/01/2023,24.6,16.1,20,24.6,16.1,20,12.4,63,0,0,0,rain,0,0,22.7,31.7,295.4,1013,13.5,18.5,368.1,31.7,10,10,2023-01-22T06:19:25,2023-01-22T20:56:34,0,Clear,Clear conditions throughout the day.,clear-day,"93546099999,remote"
