name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Nelson, NSN, NZ",23/12/2023,20.4,16.7,18.3,20.4,16.7,18.3,16.3,88.1,8,100,8.33,rain,0,0,10.4,16.6,56.3,1018.5,100,13.9,26.7,2.2,1,10,2023-12-23T05:50:55,2023-12-23T21:00:18,0.36,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,93546099999
"Nelson, NSN, NZ",24/12/2023,22.7,18.1,19.6,22.7,18.1,19.6,18.5,93.7,8,100,8.33,rain,0,0,34.9,33.5,41.4,1013.1,96,10.8,184.2,15.8,7,10,2023-12-24T05:51:27,2023-12-24T21:00:44,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,93546099999
"Nelson, NSN, NZ",25/12/2023,23.1,18.4,20.5,23.1,18.4,20.5,17.8,84.8,3,100,4.17,rain,0,0,32.8,35.3,33.9,1010.4,87.5,12.5,321.9,27.9,10,10,2023-12-25T05:52:01,2023-12-25T21:01:08,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"93546099999,7JLP"
"Nelson, NSN, NZ",26/12/2023,22.6,15.2,19.5,22.6,15.2,19.5,17,85.7,0,0,0,,0,0,19.8,37.1,16.9,1014,41.1,10.9,376.7,32.7,10,10,2023-12-26T05:52:37,2023-12-26T21:01:29,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93546099999,7JLP"
"Nelson, NSN, NZ",27/12/2023,22.1,16.7,19.4,22.1,16.7,19.4,15.1,76.9,9,100,8.33,rain,0,0,11.9,25.9,2.9,1020.3,57.9,16.6,249.4,21.5,10,10,2023-12-27T05:53:16,2023-12-27T21:01:49,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"93546099999,7JLP"
"Nelson, NSN, NZ",28/12/2023,22.7,13.9,18.9,22.7,13.9,18.9,13.3,70.7,0,0,0,,0,0,18.7,25.9,27.4,1019.6,89.7,18.9,292,25.1,10,10,2023-12-28T05:53:56,2023-12-28T21:02:06,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93546099999,7JLP"
"Nelson, NSN, NZ",29/12/2023,21.6,16.9,19.3,21.6,16.9,19.3,18.2,93.4,21.2,100,16.67,rain,0,0,49.7,33.5,43.8,1006.4,84.7,7.8,154.6,13.3,7,10,2023-12-29T05:54:39,2023-12-29T21:02:21,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,93546099999
"Nelson, NSN, NZ",30/12/2023,24.2,18.4,21.2,24.2,18.4,21.2,16.2,73.7,0,0,0,rain,0,0,21.6,38.9,38.5,1005.6,44.6,15,350.2,30.2,10,10,2023-12-30T05:55:23,2023-12-30T21:02:34,0.59,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,93546099999
"Nelson, NSN, NZ",31/12/2023,25.1,15.4,20.4,25.1,15.4,20.4,13.4,67.1,4.8,100,8.33,rain,0,0,47.5,48.2,318.5,1006.2,80.5,13.5,258.6,22.4,9,10,2023-12-31T05:56:09,2023-12-31T21:02:44,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,93546099999
"Nelson, NSN, NZ",1/01/2024,21.9,12.4,17.4,21.9,12.4,17.4,7,51.7,0,0,0,,0,0,29.9,38.9,230.6,1015.2,20,19.6,394.3,34.1,10,10,2024-01-01T05:56:57,2024-01-01T21:02:52,0.66,Clear,Partly cloudy throughout the day.,clear-day,"93546099999,7JLP"
